Filename,Run Count,Last Run Date
"C:\Anaconda\Lib\site-packages\ahk\ahk.py",2,131348881093281250
"C:\Program Files\Adobe\Adobe Photoshop CS4\示例\Photomerge\照片1.jpg",1,131307586494218750
"C:\Documents and Settings\Administrator\Recent\蔡14.jpg.lnk",1,131307586312031250
"C:\Documents and Settings\Administrator\Application Data\kingsoft\office6\backup\孔凡.ppt.8895CC6D6CA3CFE95DFFF71CDCB4A5F9.20161204170435562.ppt",1,131307585841875000
"C:\Documents and Settings\Administrator\Application Data\kingsoft\office6\backup\孔凡-处方管理办法及点评制度.ppt.7F65AC83C3DFEC377B599F8518352F1D.20161207160715890.ppt",1,131307585449531250
"C:\Documents and Settings\Administrator\Local Settings\Temp\WPDNSE\Phone storage\孔.rar",1,131307585300312500
